SEX,AGE,UNIT,DESIGNATION,PAST EXP,RATINGS,DOJ,CURRENT DATE,years_experience,SALARY
Female,41,IT,Executive,9,3,2013-12-21,2024-07-01,10.5,83135.0
Female,42,IT,Analyst,4,3,2021-02-16,2024-07-01,3.4,48500.0
Male,27,Finance,Senior Analyst,0,3,2011-12-16,2024-07-01,12.6,66360.0
Female,34,Marketing,Analyst,5,5,2022-03-04,2024-07-01,2.3,50250.0
Male,35,Finance,Analyst,5,3,2022-11-26,2024-07-01,1.6,45400.0
Male,27,Finance,Senior Manager,2,1,2020-05-30,2024-07-01,4.1,72990.0
Female,29,IT,Manager,7,3,2018-04-05,2024-07-01,6.2,84960.0
Female,28,Operations,Analyst,0,4,2020-12-03,2024-07-01,3.6,44000.0
Female,43,Marketing,Analyst,0,1,2012-11-16,2024-07-01,11.6,53000.0
Male,49,IT,Analyst,5,3,2011-10-22,2024-07-01,12.7,64850.0
Male,38,Operations,Analyst,9,3,2012-05-12,2024-07-01,12.1,65750.0
Female,51,Finance,Senior Analyst,0,2,2016-09-08,2024-07-01,7.8,61080.0
Female,50,Finance,Analyst,5,5,2018-04-02,2024-07-01,6.3,59450.0
Male,59,Sales,Analyst,0,1,2022-03-03,2024-07-01,2.3,42250.0
Female,55,Marketing,Analyst,5,2,2019-03-07,2024-07-01,5.3,52950.0
Male,38,Sales,Executive,2,4,2015-04-02,2024-07-01,9.3,73515.0
Female,59,IT,Team Lead,7,5,2017-01-10,2024-07-01,7.5,91070.0
Male,37,IT,Analyst,5,1,2017-03-05,2024-07-01,7.3,50350.0
Female,34,Operations,Manager,0,3,2011-04-16,2024-07-01,13.2,92160.0
Male,51,IT,Analyst,4,1,2010-06-20,2024-07-01,14.0,62200.0
Female,44,IT,Analyst,7,3,2017-01-17,2024-07-01,7.5,58050.0
Female,55,HR,Manager,2,5,2015-07-18,2024-07-01,9.0,98400.0
Male,54,HR,Executive,5,3,2015-11-18,2024-07-01,8.6,77610.0
Female,23,Finance,Team Lead,4,4,2023-05-06,2024-07-01,1.2,60760.0
Female,57,Operations,Senior Analyst,5,3,2022-03-20,2024-07-01,2.3,61020.0
Female,46,IT,Analyst,9,4,2010-07-28,2024-07-01,13.9,72050.0
Female,43,IT,Manager,0,5,2014-09-25,2024-07-01,9.8,93280.0
Female,59,IT,Analyst,6,5,2019-05-17,2024-07-01,5.1,60450.0
Female,35,Operations,Senior Analyst,8,1,2013-12-17,2024-07-01,10.5,69300.0
Male,24,Finance,Analyst,1,4,2014-07-04,2024-07-01,10.0,53800.0
Male,49,IT,Senior Analyst,9,4,2019-02-21,2024-07-01,5.4,71880.0
Male,42,Marketing,Analyst,4,2,2012-11-16,2024-07-01,11.6,58800.0
Male,45,Operations,Analyst,9,2,2015-03-16,2024-07-01,9.3,60950.0
Male,33,Marketing,Executive,3,2,2021-05-04,2024-07-01,3.2,56420.0
Male,38,Operations,Analyst,5,3,2016-11-16,2024-07-01,7.6,55000.0
Female,53,IT,Senior Analyst,5,2,2023-02-21,2024-07-01,1.4,56040.0
Male,36,Marketing,Analyst,1,4,2017-11-23,2024-07-01,6.6,51100.0
Male,22,HR,Analyst,1,3,2018-04-04,2024-07-01,6.2,45700.0
Female,55,Marketing,Analyst,3,5,2015-12-01,2024-07-01,8.6,61900.0
Male,54,Sales,Analyst,0,1,2019-07-12,2024-07-01,5.0,45300.0
Female,50,Marketing,Executive,8,2,2016-09-17,2024-07-01,7.8,76310.0
Male,33,Sales,Analyst,6,5,2017-02-21,2024-07-01,7.4,58700.0
Female,33,IT,Team Lead,6,4,2012-09-17,2024-07-01,11.8,88620.0
Female,38,Finance,Senior Analyst,2,1,2012-11-24,2024-07-01,11.6,64800.0
Male,52,Operations,Analyst,2,5,2020-10-08,2024-07-01,3.7,52950.0
Male,52,Operations,Senior Analyst,0,1,2016-12-30,2024-07-01,7.5,58380.0
Female,55,IT,Senior Analyst,2,2,2019-08-02,2024-07-01,4.9,59220.0
Female,59,IT,Manager,2,4,2019-11-17,2024-07-01,4.6,85920.0
Female,49,IT,Analyst,3,1,2021-08-05,2024-07-01,2.9,44150.0
Female,49,Sales,Analyst,3,5,2016-05-25,2024-07-01,8.1,59950.0
Male,36,Marketing,Executive,2,2,2023-02-08,2024-07-01,1.4,52390.0
Male,30,IT,Executive,9,2,2019-09-28,2024-07-01,4.8,66560.0
Male,50,Finance,Executive,7,5,2021-02-22,2024-07-01,3.4,74230.0
Female,45,Marketing,Analyst,7,5,2018-05-23,2024-07-01,6.1,60150.0
Female,59,Sales,Manager,0,1,2012-04-27,2024-07-01,12.2,91360.0
Male,40,Finance,Analyst,6,3,2023-07-08,2024-07-01,1.0,46500.0
Male,25,Finance,Analyst,1,2,2015-09-01,2024-07-01,8.8,48200.0
Male,21,Finance,Analyst,0,1,2020-01-19,2024-07-01,4.5,37950.0
Male,50,IT,Senior Analyst,2,5,2013-10-01,2024-07-01,10.8,75840.0
Female,23,Finance,Analyst,3,1,2019-03-12,2024-07-01,5.3,42550.0
Female,34,Sales,Analyst,5,5,2016-06-23,2024-07-01,8.0,58800.0
Female,50,Operations,Executive,9,4,2017-04-25,2024-07-01,7.2,81640.0
Female,24,Finance,Analyst,4,5,2023-10-12,2024-07-01,0.7,44850.0
Male,38,Marketing,Analyst,3,5,2022-04-15,2024-07-01,2.2,48900.0
Female,57,IT,Analyst,7,5,2019-03-19,2024-07-01,5.3,61350.0
Female,45,HR,Executive,3,3,2011-05-20,2024-07-01,13.1,81445.0
Female,21,IT,Senior Analyst,9,5,2020-06-12,2024-07-01,4.1,65220.0
Female,35,IT,Analyst,1,2,2017-02-15,2024-07-01,7.4,48100.0
Female,29,Sales,Senior Manager,2,2,2023-03-14,2024-07-01,1.3,69750.0
Female,35,Operations,Senior Manager,5,1,2018-12-02,2024-07-01,5.6,85320.0
Female,44,IT,Analyst,7,3,2014-10-13,2024-07-01,9.7,61350.0
Male,24,HR,Senior Analyst,7,1,2014-12-12,2024-07-01,9.6,63840.0
Male,32,Marketing,Manager,8,2,2010-01-05,2024-07-01,14.5,104240.0
Male,57,IT,Senior Analyst,6,2,2019-07-22,2024-07-01,4.9,64500.0
Female,57,Finance,Analyst,1,4,2020-08-26,2024-07-01,3.8,51100.0
Male,26,Sales,Executive,7,5,2016-03-23,2024-07-01,8.3,77545.0
Female,59,Finance,Senior Analyst,6,2,2017-05-18,2024-07-01,7.1,68940.0
Female,44,IT,Analyst,7,1,2021-05-09,2024-07-01,3.1,47450.0
Male,31,IT,Analyst,2,1,2013-08-08,2024-07-01,10.9,51550.0
Female,33,Marketing,Analyst,6,5,2023-05-19,2024-07-01,1.1,49250.0
Female,54,Finance,Analyst,9,5,2015-02-18,2024-07-01,9.4,68900.0
Male,45,IT,Manager,8,4,2018-12-04,2024-07-01,5.6,93440.0
Male,27,Marketing,Analyst,2,3,2010-09-21,2024-07-01,13.8,59100.0
Male,24,IT,Analyst,9,1,2012-01-30,2024-07-01,12.4,59400.0
Male,28,Sales,Senior Analyst,5,5,2021-04-02,2024-07-01,3.2,60480.0
Female,40,IT,Analyst,1,1,2022-02-10,2024-07-01,2.4,39600.0
Female,49,Operations,Team Lead,1,5,2018-06-10,2024-07-01,6.1,76930.0
Female,30,IT,Analyst,4,2,2019-02-20,2024-07-01,5.4,47100.0
Female,54,IT,Analyst,4,1,2013-05-11,2024-07-01,11.1,58450.0
Female,46,IT,Analyst,6,2,2012-04-24,2024-07-01,12.2,62500.0
Male,23,IT,Analyst,1,1,2012-02-15,2024-07-01,12.4,51200.0
Female,26,Operations,Analyst,6,3,2018-03-26,2024-07-01,6.3,51650.0
Female,25,Operations,Manager,4,4,2010-03-25,2024-07-01,14.3,101520.0
Female,25,IT,Team Lead,5,2,2020-01-27,2024-07-01,4.4,63840.0
Female,43,HR,Analyst,7,5,2012-01-11,2024-07-01,12.5,69350.0
Male,29,Sales,Senior Analyst,9,3,2021-06-17,2024-07-01,3.0,60360.0
Male,55,Operations,Manager,3,1,2011-12-07,2024-07-01,12.6,95840.0
Male,40,Finance,Senior Manager,6,2,2020-08-11,2024-07-01,3.9,87930.0
Female,55,IT,Analyst,5,1,2022-04-26,2024-07-01,2.2,46300.0
Female,38,HR,Analyst,9,1,2023-08-25,2024-07-01,0.9,44950.0
Female,37,Sales,Analyst,1,1,2012-12-23,2024-07-01,11.5,52650.0
Male,44,IT,Manager,7,4,2012-05-22,2024-07-01,12.1,107120.0
Female,23,Finance,Senior Manager,9,4,2016-07-12,2024-07-01,8.0,105480.0
Female,52,IT,Analyst,8,5,2010-06-27,2024-07-01,14.0,74400.0
Male,55,Marketing,Analyst,4,2,2010-06-03,2024-07-01,14.1,65150.0
Male,58,IT,Executive,9,3,2018-09-27,2024-07-01,5.8,78390.0
Male,33,Finance,Senior Manager,3,3,2010-12-24,2024-07-01,13.5,109530.0
Female,45,HR,Team Lead,5,3,2020-07-17,2024-07-01,4.0,71400.0
Male,29,Finance,Manager,7,1,2011-11-10,2024-07-01,12.6,93920.0
Female,24,IT,Analyst,2,4,2021-09-24,2024-07-01,2.8,44000.0
Female,34,Finance,Senior Analyst,9,2,2020-11-04,2024-07-01,3.7,60420.0
Male,57,Finance,Senior Analyst,0,1,2022-05-01,2024-07-01,2.2,50040.0
Female,54,Finance,Analyst,3,4,2023-09-15,2024-07-01,0.8,48000.0
Female,31,Finance,Senior Analyst,3,4,2021-11-08,2024-07-01,2.6,55320.0
Male,23,Sales,Manager,0,2,2017-05-22,2024-07-01,7.1,70800.0
Female,48,Marketing,Analyst,8,2,2016-01-02,2024-07-01,8.5,59350.0
Male,49,IT,Manager,2,2,2018-04-11,2024-07-01,6.2,80160.0
Male,29,Marketing,Senior Analyst,4,1,2012-08-26,2024-07-01,11.9,65580.0
Male,23,HR,Team Lead,5,5,2018-12-25,2024-07-01,5.5,73990.0
Female,45,IT,Analyst,7,2,2015-02-26,2024-07-01,9.4,59100.0
Female,54,IT,Analyst,5,5,2018-11-19,2024-07-01,5.6,59200.0
Male,32,IT,Senior Analyst,2,1,2012-10-29,2024-07-01,11.7,63540.0
Male,29,Marketing,Analyst,5,5,2017-05-01,2024-07-01,7.2,56600.0
Female,35,Sales,Manager,0,3,2018-04-23,2024-07-01,6.2,75680.0
Male,45,Marketing,Manager,3,5,2023-01-26,2024-07-01,1.4,78560.0
Male,25,Finance,Analyst,5,2,2010-09-03,2024-07-01,13.8,59700.0
Female,31,HR,Senior Analyst,6,1,2011-03-16,2024-07-01,13.3,70980.0
Female,54,IT,Senior Analyst,9,2,2022-07-15,2024-07-01,2.0,62160.0
Male,44,IT,Analyst,2,3,2023-01-14,2024-07-01,1.5,44050.0
Female,35,HR,Executive,8,2,2010-04-26,2024-07-01,14.2,84890.0
Female,58,IT,Senior Manager,6,2,2016-04-17,2024-07-01,8.2,106020.0
Male,28,IT,Senior Analyst,0,2,2012-03-20,2024-07-01,12.3,63660.0
Female,25,Finance,Manager,1,4,2020-11-10,2024-07-01,3.6,71040.0
Male,46,Sales,Analyst,0,3,2011-06-29,2024-07-01,13.0,59700.0
Female,38,Operations,Executive,8,2,2019-09-20,2024-07-01,4.8,67340.0
Female,26,Operations,Senior Analyst,8,2,2020-10-14,2024-07-01,3.7,57300.0
Female,57,Finance,Manager,6,2,2012-08-07,2024-07-01,11.9,102800.0
Male,33,HR,Executive,9,1,2011-07-28,2024-07-01,12.9,80535.0
Female,48,Finance,Analyst,2,4,2013-08-18,2024-07-01,10.9,60950.0
Male,25,Marketing,Senior Manager,4,1,2018-08-05,2024-07-01,5.9,80730.0
Male,33,IT,Analyst,3,4,2011-07-16,2024-07-01,13.0,62100.0
Male,37,HR,Analyst,6,2,2012-12-30,2024-07-01,11.5,59650.0
Female,52,Marketing,Analyst,8,3,2012-06-05,2024-07-01,12.1,67550.0
Female,49,IT,Team Lead,1,5,2011-11-28,2024-07-01,12.6,90580.0
Male,23,Finance,Executive,7,5,2015-04-28,2024-07-01,9.2,78520.0
Female,54,Finance,Manager,8,2,2019-11-01,2024-07-01,4.7,87760.0
Male,47,IT,Manager,9,1,2018-07-06,2024-07-01,6.0,87040.0
Female,33,IT,Senior Analyst,9,3,2013-08-27,2024-07-01,10.9,75540.0
Male,53,IT,Executive,8,4,2015-01-17,2024-07-01,9.5,85605.0
Female,26,IT,Analyst,9,2,2010-11-21,2024-07-01,13.6,63600.0
Male,44,IT,Analyst,6,3,2019-08-20,2024-07-01,4.9,53150.0
Female,39,Marketing,Analyst,8,3,2015-12-13,2024-07-01,8.6,59700.0
Male,36,IT,Manager,8,4,2011-11-16,2024-07-01,12.6,107360.0
Male,48,Finance,Manager,2,3,2017-09-21,2024-07-01,6.8,84480.0
Male,53,IT,Analyst,3,1,2018-10-15,2024-07-01,5.7,49150.0
Female,33,Operations,Analyst,1,1,2020-03-12,2024-07-01,4.3,41050.0
Female,45,IT,Senior Manager,9,1,2021-07-17,2024-07-01,3.0,89100.0
Male,56,HR,Analyst,2,3,2016-12-20,2024-07-01,7.5,55450.0
Female,47,Operations,Manager,4,1,2012-12-07,2024-07-01,11.6,92480.0
Female,58,Marketing,Team Lead,4,4,2016-03-28,2024-07-01,8.3,85470.0
Female,27,IT,Analyst,5,3,2014-08-04,2024-07-01,9.9,56250.0
Female,25,Marketing,Analyst,6,5,2012-10-26,2024-07-01,11.7,63550.0
Male,51,HR,Manager,6,3,2012-07-03,2024-07-01,12.0,104320.0
Male,43,HR,Senior Manager,0,4,2019-01-17,2024-07-01,5.5,89730.0
Female,30,IT,Senior Analyst,1,5,2011-07-10,2024-07-01,13.0,73800.0
Female,52,IT,Team Lead,8,3,2021-12-21,2024-07-01,2.5,74410.0
Female,50,Sales,Analyst,9,1,2014-10-26,2024-07-01,9.7,60550.0
Male,59,HR,Senior Analyst,1,2,2013-04-15,2024-07-01,11.2,70320.0
Male,51,HR,Manager,5,2,2022-09-29,2024-07-01,1.8,75040.0
Female,38,Sales,Executive,0,1,2014-07-07,2024-07-01,10.0,64480.0
Female,56,Marketing,Analyst,2,2,2016-01-06,2024-07-01,8.5,54950.0
Female,22,IT,Senior Manager,1,2,2012-03-02,2024-07-01,12.3,95130.0
Female,34,Finance,Senior Analyst,2,1,2023-09-28,2024-07-01,0.8,44400.0
Female,33,IT,Analyst,4,1,2015-12-18,2024-07-01,8.5,50350.0
Male,49,Marketing,Analyst,9,3,2019-04-06,2024-07-01,5.2,57600.0
Male,32,Sales,Executive,5,3,2015-07-16,2024-07-01,9.0,72670.0
Female,59,Operations,Analyst,8,1,2013-11-09,2024-07-01,10.6,62700.0
Female,22,IT,Analyst,9,4,2023-07-23,2024-07-01,0.9,47750.0
Male,52,IT,Analyst,3,2,2021-06-01,2024-07-01,3.1,47050.0
Male,33,IT,Executive,6,3,2012-02-05,2024-07-01,12.4,80860.0
Female,47,IT,Senior Analyst,5,2,2013-09-17,2024-07-01,10.8,71520.0
Male,37,IT,Manager,1,5,2015-06-13,2024-07-01,9.1,91280.0
Male,51,Operations,Analyst,9,1,2017-12-18,2024-07-01,6.5,55950.0
Female,54,IT,Senior Analyst,7,4,2017-11-22,2024-07-01,6.6,72840.0
Female,44,IT,Senior Analyst,6,5,2017-02-10,2024-07-01,7.4,73080.0
Female,55,Marketing,Senior Manager,6,5,2011-08-10,2024-07-01,12.9,128430.0
Male,26,HR,Executive,7,5,2021-03-28,2024-07-01,3.3,67795.0
Female,39,Marketing,Analyst,0,1,2022-04-09,2024-07-01,2.2,38100.0
Male,50,IT,Senior Analyst,0,3,2012-12-11,2024-07-01,11.6,70080.0
Male,27,HR,Analyst,7,1,2014-09-07,2024-07-01,9.8,54100.0
Female,30,IT,Senior Analyst,3,3,2020-04-11,2024-07-01,4.2,55560.0
Female,52,IT,Analyst,4,5,2010-03-24,2024-07-01,14.3,70850.0
Female,54,Operations,Analyst,7,5,2020-04-27,2024-07-01,4.2,59100.0
Female,48,IT,Analyst,4,4,2016-02-13,2024-07-01,8.4,59200.0
Female,35,Finance,Senior Analyst,9,3,2020-11-09,2024-07-01,3.6,62880.0
Male,50,HR,Analyst,3,5,2010-12-01,2024-07-01,13.6,68400.0
Male,57,IT,Manager,5,2,2013-02-16,2024-07-01,11.4,100000.0
Male,49,Operations,Analyst,4,4,2020-04-25,2024-07-01,4.2,53100.0
Male,42,IT,Analyst,6,1,2021-04-12,2024-07-01,3.2,46200.0
Female,24,Sales,Manager,9,4,2012-06-18,2024-07-01,12.0,103680.0
Male,40,Operations,Analyst,6,2,2012-03-21,2024-07-01,12.3,61450.0
Female,52,Finance,Analyst,3,3,2015-05-31,2024-07-01,9.1,58050.0
Female,56,Operations,Senior Analyst,4,1,2018-01-04,2024-07-01,6.5,62340.0
Female,24,IT,Analyst,2,1,2016-03-28,2024-07-01,8.3,46250.0
Female,47,HR,Analyst,3,3,2011-01-06,2024-07-01,13.5,63650.0
Female,37,IT,Analyst,3,4,2021-10-30,2024-07-01,2.7,47450.0
Female,32,Sales,Executive,2,5,2016-10-24,2024-07-01,7.7,71435.0
Male,42,Operations,Senior Analyst,9,4,2014-11-06,2024-07-01,9.7,77940.0
Female,37,IT,Senior Analyst,4,2,2012-12-08,2024-07-01,11.6,69360.0
Male,30,Sales,Senior Analyst,4,5,2017-12-02,2024-07-01,6.6,65880.0
Male,21,IT,Analyst,6,4,2017-07-28,2024-07-01,6.9,53550.0
Female,42,Finance,Analyst,3,3,2020-02-21,2024-07-01,4.4,49000.0
Male,46,HR,Manager,3,2,2020-09-25,2024-07-01,3.8,75040.0
Female,38,Operations,Analyst,8,2,2016-11-22,2024-07-01,7.6,56000.0
Female,34,Finance,Analyst,5,2,2016-01-23,2024-07-01,8.4,53400.0
Female,49,IT,Analyst,3,5,2015-03-29,2024-07-01,9.3,61750.0
Male,32,IT,Analyst,1,1,2023-07-15,2024-07-01,1.0,35900.0
Male,56,IT,Team Lead,5,5,2010-08-06,2024-07-01,13.9,100870.0
Female,55,IT,Analyst,1,4,2020-04-03,2024-07-01,4.2,51300.0
Female,32,IT,Senior Analyst,4,1,2016-11-14,2024-07-01,7.6,58560.0
Female,27,Operations,Analyst,5,4,2016-09-04,2024-07-01,7.8,55100.0
Female,49,Finance,Team Lead,3,1,2012-06-11,2024-07-01,12.1,81130.0
Female,31,Finance,Analyst,2,5,2012-05-06,2024-07-01,12.2,61500.0
Male,53,IT,Analyst,6,2,2020-07-05,2024-07-01,4.0,51600.0
Male,26,Operations,Manager,1,3,2021-10-09,2024-07-01,2.7,66000.0
Female,35,Sales,Manager,5,2,2015-10-16,2024-07-01,8.7,86480.0
Male,52,IT,Analyst,3,5,2015-12-19,2024-07-01,8.5,61150.0
Male,31,Sales,Analyst,5,1,2012-03-16,2024-07-01,12.3,56650.0
Female,43,Finance,Analyst,3,2,2021-07-03,2024-07-01,3.0,45100.0
Female,46,IT,Analyst,3,5,2010-09-04,2024-07-01,13.8,67900.0
Female,54,HR,Analyst,3,4,2014-03-06,2024-07-01,10.3,62250.0
Female,54,HR,Analyst,8,3,2013-10-22,2024-07-01,10.7,65850.0
Male,49,IT,Analyst,6,2,2013-05-17,2024-07-01,11.1,61450.0
Female,24,Operations,Analyst,2,1,2012-03-07,2024-07-01,12.3,52250.0
Female,37,Marketing,Senior Analyst,2,4,2018-10-16,2024-07-01,5.7,61140.0
Male,55,Sales,Team Lead,5,5,2013-06-26,2024-07-01,11.0,94500.0
Female,33,HR,Senior Analyst,5,3,2014-08-12,2024-07-01,9.9,68940.0
Female,59,HR,Analyst,3,1,2019-11-11,2024-07-01,4.6,48700.0
Female,35,Sales,Analyst,8,5,2021-12-02,2024-07-01,2.6,53900.0
Female,49,Finance,Team Lead,3,5,2018-07-22,2024-07-01,5.9,79310.0
Female,49,IT,Analyst,8,2,2018-10-26,2024-07-01,5.7,55350.0
Male,31,Finance,Analyst,3,2,2016-02-29,2024-07-01,8.3,50650.0
Male,52,Marketing,Senior Analyst,1,1,2014-03-14,2024-07-01,10.3,64620.0
Female,22,HR,Senior Analyst,1,5,2020-02-08,2024-07-01,4.4,56400.0
Female,34,IT,Senior Analyst,4,2,2011-11-07,2024-07-01,12.7,70620.0
Female,40,Marketing,Analyst,3,3,2022-02-02,2024-07-01,2.4,45600.0
Female,42,IT,Analyst,6,3,2017-03-01,2024-07-01,7.3,56350.0
Female,31,IT,Team Lead,4,5,2021-07-09,2024-07-01,3.0,69580.0
Female,47,IT,Analyst,5,2,2021-05-28,2024-07-01,3.1,48050.0
Female,23,IT,Senior Analyst,9,1,2010-05-07,2024-07-01,14.2,74280.0
Female,37,Marketing,Manager,3,1,2022-06-30,2024-07-01,2.0,64640.0
Female,48,Finance,Senior Analyst,1,1,2015-08-23,2024-07-01,8.9,61140.0
Female,49,IT,Analyst,9,3,2022-09-10,2024-07-01,1.8,52500.0
Female,41,Operations,Analyst,8,2,2014-05-07,2024-07-01,10.2,60500.0
Male,36,Operations,Senior Analyst,9,2,2023-11-09,2024-07-01,0.6,55320.0
Male,57,Operations,Executive,6,3,2018-04-21,2024-07-01,6.2,75010.0
Male,40,IT,Executive,3,1,2022-04-03,2024-07-01,2.2,53690.0
Female,26,HR,Analyst,2,1,2015-09-22,2024-07-01,8.8,47400.0
Male,39,Operations,Analyst,9,5,2015-10-24,2024-07-01,8.7,64850.0
Female,25,Marketing,Executive,2,4,2013-11-15,2024-07-01,10.6,72670.0
Female,23,IT,Manager,8,2,2013-05-04,2024-07-01,11.2,93440.0
Male,21,IT,Executive,4,2,2010-11-11,2024-07-01,13.6,74880.0
Female,58,HR,Analyst,2,2,2017-09-01,2024-07-01,6.8,52800.0
Male,35,Operations,Senior Analyst,4,4,2018-09-27,2024-07-01,5.8,63240.0
Male,54,Finance,Manager,1,5,2016-11-21,2024-07-01,7.6,93120.0
Female,55,HR,Senior Analyst,3,4,2022-12-29,2024-07-01,1.5,59100.0
Male,45,IT,Analyst,9,1,2012-08-29,2024-07-01,11.8,62700.0
Male,44,Sales,Analyst,1,1,2015-04-25,2024-07-01,9.2,50600.0
Female,32,Marketing,Senior Analyst,1,2,2019-11-09,2024-07-01,4.6,51960.0
Female,38,IT,Analyst,7,3,2018-10-25,2024-07-01,5.7,54150.0
Male,35,Marketing,Analyst,0,2,2020-12-27,2024-07-01,3.5,41250.0
Female,36,Operations,Team Lead,6,3,2012-07-01,2024-07-01,12.0,87080.0
Male,47,IT,Analyst,4,4,2014-12-24,2024-07-01,9.5,60650.0
Male,28,Finance,Senior Manager,7,1,2018-10-04,2024-07-01,5.7,86670.0
Female,45,IT,Analyst,0,3,2021-09-01,2024-07-01,2.8,44200.0
Female,37,Marketing,Senior Analyst,6,4,2010-02-11,2024-07-01,14.4,81600.0
Female,49,Finance,Team Lead,4,1,2015-04-04,2024-07-01,9.2,76440.0
Female,28,Finance,Analyst,3,3,2012-11-09,2024-07-01,11.6,57000.0
Female,35,Marketing,Analyst,6,2,2017-06-01,2024-07-01,7.1,52650.0
Female,47,IT,Analyst,9,2,2016-01-10,2024-07-01,8.5,60150.0
Male,27,Operations,Analyst,1,2,2017-05-24,2024-07-01,7.1,46050.0
Female,23,Finance,Manager,0,4,2013-03-02,2024-07-01,11.3,87280.0
Male,49,IT,Executive,0,2,2010-10-05,2024-07-01,13.7,77155.0
Female,44,Sales,Analyst,0,5,2011-12-12,2024-07-01,12.6,62700.0
Male,23,Marketing,Analyst,4,1,2015-09-04,2024-07-01,8.8,48800.0
Male,40,IT,Analyst,9,4,2014-05-30,2024-07-01,10.1,65150.0
Female,35,Operations,Manager,6,2,2016-02-24,2024-07-01,8.4,87360.0
Female,45,Operations,Analyst,1,1,2013-08-11,2024-07-01,10.9,53350.0
Female,50,IT,Senior Analyst,9,3,2017-02-26,2024-07-01,7.3,73140.0
Female,34,Operations,Senior Analyst,7,2,2010-07-18,2024-07-01,14.0,76560.0
Male,27,IT,Senior Analyst,3,1,2016-01-18,2024-07-01,8.5,57780.0
Male,37,IT,Analyst,2,5,2021-06-29,2024-07-01,3.0,48900.0
Male,40,IT,Manager,9,3,2012-08-10,2024-07-01,11.9,105360.0
Female,56,Operations,Analyst,7,5,2021-06-02,2024-07-01,3.1,57850.0
Female,29,Sales,Analyst,1,1,2021-11-07,2024-07-01,2.6,37700.0
Female,58,IT,Executive,2,5,2014-06-30,2024-07-01,10.0,82680.0
Male,42,HR,Manager,2,1,2015-06-30,2024-07-01,9.0,81440.0
Female,22,Finance,Analyst,9,1,2018-02-01,2024-07-01,6.4,50000.0
Female,44,IT,Analyst,0,5,2017-04-22,2024-07-01,7.2,54600.0
Female,28,Operations,Analyst,5,1,2011-12-27,2024-07-01,12.5,56350.0
Female,31,Marketing,Analyst,1,2,2011-06-30,2024-07-01,13.0,55700.0
Female,33,Finance,Analyst,0,1,2023-08-09,2024-07-01,0.9,34950.0
Male,37,Operations,Analyst,1,4,2019-09-23,2024-07-01,4.8,48600.0
Male,28,HR,Analyst,5,1,2016-07-26,2024-07-01,7.9,49450.0
Female,41,Operations,Manager,3,4,2023-03-09,2024-07-01,1.3,73840.0
Male,38,Sales,Senior Analyst,5,1,2019-06-24,2024-07-01,5.0,56520.0
Male,50,Finance,Senior Analyst,8,1,2011-04-29,2024-07-01,13.2,77760.0
Male,38,IT,Analyst,9,5,2018-07-23,2024-07-01,5.9,60450.0
Male,51,Operations,Team Lead,9,2,2022-09-23,2024-07-01,1.8,71260.0
Female,58,HR,Senior Manager,7,2,2016-07-26,2024-07-01,7.9,107010.0
